(-1, 1, 0)	(0, 3, '0')
(0, -1, 0)	(-1, 0, 'Z2 x Z2')
(1, -1, 0)	(-2, 1, 'Z4')
(3, -2, 1)	(-11, -12, '0')
(3, -1, 0)	(-10, -15, '0')
(3, 1, 0)	(-8, -21, '0')
(3, 2, 0)	(-7, -24, '0')
(-3, 2, 0)	(-7, 42, '0')
(-3, 1, 0)	(-8, 39, '0')
(4, -1, 1)	(-17, -44, '0')
(1, -4, 1)	(-5, 4, 'Z2')
(5, -1, 0)	(-26, -95, '0')
(5, 3, 1)	(-22, -115, '0')
(-3, 5, 1)	(-4, 51, '0')
(-5, 5, 1)	(-20, 175, '0')
(3, -5, 1)	(-14, -3, '0')
(7, -3, 1)	(-52, -273, '0')
(7, -1, 0)	(-50, -287, '0')
(7, 2, 1)	(-47, -308, '0')
(7, 3, 1)	(-46, -315, 'Z2')
(7, 5, 1)	(-44, -329, '0')
(-7, 5, 1)	(-44, 427, '0')
(-7, 2, 1)	(-47, 406, '0')
(3, -7, 1)	(-16, 3, '0')
(-5, 8, 1)	(-17, 190, '0')
(9, -5, 1)	(-86, -603, '0')
(9, -4, 1)	(-85, -612, '0')
(9, -1, 1)	(-82, -639, '0')
(9, 7, 1)	(-74, -711, '0')
(-9, 1, 1)	(-80, 819, '0')
(1, -9, 1)	(-10, 9, 'Z2')
(10, 8, 2)	(-92, -980, '0')
(-3, 10, 2)	(1, 66, '0')
(7, -10, 2)	(-59, -224, '0')
(11, -7, 1)	(-128, -1133, '0')
(11, 2, 1)	(-119, -1232, '0')
(11, 3, 1)	(-118, -1243, '0')
(11, 6, 2)	(-115, -1276, '0')
(9, 11, 1)	(-70, -747, '0')
(7, 11, 1)	(-38, -371, '0')
(-11, 5, 1)	(-116, 1507, '0')
(-11, 2, 1)	(-119, 1474, '0')
(-11, 1, 1)	(-120, 1463, '0')
(12, 7, 2)	(-137, -1668, '0')
(5, -12, 2)	(-37, -40, '0')
(13, -1, 0)	(-170, -2015, '0')
(13, 3, 1)	(-166, -2067, '0')
(13, 11, 1)	(-158, -2171, '0')
(-3, 13, 1)	(4, 75, '0')
(-5, 13, 1)	(-12, 215, '0')
(-7, 13, 1)	(-36, 483, '0')
(-13, 8, 1)	(-161, 2470, '0')
(-13, 5, 1)	(-164, 2431, '0')
(1, -13, 1)	(-14, 13, 'Z2')
(3, -13, 1)	(-22, 21, 'Z2')
(7, -13, 1)	(-62, -203, '0')
(13, -13, 2)	(-182, -1859, '0')
(15, -11, 1)	(-236, -2985, '0')
(15, -2, 1)	(-227, -3120, '0')
(15, -1, 0)	(-226, -3135, '0')
(15, 5, 2)	(-220, -3225, '0')
(15, 7, 1)	(-218, -3255, '0')
(15, 11, 1)	(-214, -3315, '0')
(15, 13, 1)	(-212, -3345, '0')
(-15, 13, 1)	(-212, 3795, '0')
(-15, 1, 1)	(-224, 3615, '0')
(11, -15, 2)	(-136, -1045, '0')
(16, -1, 2)	(-257, -3824, '0')
(-9, 16, 1)	(-65, 954, '0')
(10, -16, 2)	(-116, -740, '0')
(17, -1, 0)	(-290, -4607, '0')
(17, 3, 1)	(-286, -4675, '0')
(17, 12, 2)	(-277, -4828, '0')
(17, 15, 2)	(-274, -4879, '0')
(11, 17, 1)	(-104, -1397, '0')
(-1, 17, 1)	(16, 19, '0')
(-3, 17, 1)	(8, 87, '0')
(-7, 17, 1)	(-32, 511, '0')
(-9, 17, 1)	(-64, 963, '0')
(-11, 17, 1)	(-104, 1639, '0')
(-15, 17, 1)	(-208, 3855, '0')
(-17, 17, 2)	(-272, 5491, '0')
(0, -17, 2)	(-17, 0, 'Z2')
(9, -17, 1)	(-98, -495, '0')
(15, -17, 1)	(-242, -2895, '0')
(18, -8, 2)	(-332, -5364, '0')
(19, -18, 2)	(-379, -6156, '0')
(19, -10, 2)	(-371, -6308, '0')
(19, -7, 1)	(-368, -6365, '0')
(19, -1, 1)	(-362, -6479, '0')
(19, 2, 1)	(-359, -6536, '0')
(19, 3, 1)	(-358, -6555, '0')
(19, 11, 1)	(-350, -6707, '0')
(19, 17, 1)	(-344, -6821, '0')
(15, 19, 1)	(-206, -3435, '0')
(9, 19, 1)	(-62, -819, '0')
(-19, 13, 2)	(-348, 7467, '0')
(-19, 2, 1)	(-359, 7258, '0')
(7, -19, 1)	(-68, -161, '0')
(20, -1, 1)	(-401, -7580, '0')
(13, 20, 2)	(-149, -2288, '0')
(21, -13, 2)	(-454, -8547, '0')
(21, -5, 1)	(-446, -8715, '0')
(21, -1, 1)	(-442, -8799, '0')
(21, 11, 1)	(-430, -9051, '0')
(21, 19, 2)	(-422, -9219, '0')
(-21, 13, 1)	(-428, 9975, '0')
(-21, 8, 1)	(-433, 9870, '0')
(-21, 5, 1)	(-436, 9807, '0')
(5, -21, 2)	(-46, 5, '0')
(7, -22, 2)	(-71, -140, '0')
(15, -22, 2)	(-247, -2820, '0')
(23, -3, 1)	(-532, -11569, '0')
(23, -1, 1)	(-530, -11615, '0')
(23, 2, 1)	(-527, -11684, '0')
(23, 5, 1)	(-524, -11753, '0')
(19, 23, 1)	(-338, -6935, '0')
(17, 23, 1)	(-266, -5015, '0')
(12, 23, 2)	(-121, -1860, '0')
(11, 23, 1)	(-98, -1463, '0')
(-23, 17, 1)	(-512, 13087, '0')
(-23, 5, 1)	(-524, 12811, '0')
(-23, 2, 1)	(-527, 12742, '0')
(3, -23, 1)	(-32, 51, '0')
(24, 7, 2)	(-569, -13416, '0')
(25, -9, 1)	(-634, -14775, '0')
(25, -4, 1)	(-629, -14900, '0')
(25, -1, 1)	(-626, -14975, '0')
(25, 3, 1)	(-622, -15075, '0')
(25, 23, 2)	(-602, -15575, '0')
(-9, 25, 1)	(-56, 1035, '0')
(-15, 25, 1)	(-200, 3975, '0')
(1, -25, 1)	(-26, 25, 'Z2')
(9, -25, 1)	(-106, -423, '0')
(25, -25, 2)	(-650, -14375, '0')
(19, 26, 2)	(-335, -6992, '0')
(-11, 26, 2)	(-95, 1738, '0')
(-19, 26, 2)	(-335, 7714, '0')
(27, -23, 1)	(-752, -18333, '0')
(27, -10, 2)	(-739, -18684, '0')
(27, -7, 1)	(-736, -18765, '0')
(27, -1, 0)	(-730, -18927, '0')
(27, 1, 1)	(-728, -18981, '0')
(27, 7, 1)	(-722, -19143, '0')
(27, 11, 2)	(-718, -19251, '0')
(27, 14, 2)	(-715, -19332, '0')
(27, 17, 1)	(-712, -19413, '0')
(27, 22, 2)	(-707, -19548, '0')
(13, 27, 1)	(-142, -2379, '0')
(-27, 17, 1)	(-712, 20871, '0')
(-27, 5, 1)	(-724, 20547, '0')
(-27, 2, 2)	(-727, 20466, '0')
(28, 23, 2)	(-761, -21812, '0')
(13, -28, 2)	(-197, -1664, '0')
(29, 3, 1)	(-838, -23635, '0')
(29, 11, 1)	(-830, -23867, '0')
(15, 29, 1)	(-196, -3585, '0')
(-5, 29, 2)	(4, 295, '0')
(-11, 29, 1)	(-92, 1771, '0')
(-13, 29, 1)	(-140, 2743, '0')
(-15, 29, 1)	(-196, 4035, '0')
(-29, 13, 2)	(-828, 25607, '0')
(-29, 8, 1)	(-833, 25462, '0')
(-29, 5, 1)	(-836, 25375, '0')
(3, -29, 1)	(-38, 69, '0')
(9, -29, 1)	(-110, -387, '0')
(21, -29, 1)	(-470, -8211, '0')
(31, -19, 2)	(-980, -28241, '0')
(31, -13, 1)	(-974, -28427, '0')
(31, -1, 1)	(-962, -28799, '0')
(31, 2, 1)	(-959, -28892, '0')
(31, 5, 1)	(-956, -28985, '0')
(31, 6, 2)	(-955, -29016, '0')
(31, 21, 2)	(-940, -29481, '0')
(31, 26, 2)	(-935, -29636, '0')
(31, 29, 2)	(-932, -29729, '0')
(21, 31, 1)	(-410, -9471, '0')
(15, 31, 1)	(-194, -3615, '0')
(-31, 2, 1)	(-959, 30814, '0')
(19, -31, 2)	(-392, -5909, '0')
(27, -31, 1)	(-760, -18117, '0')
(-1, 32, 1)	(31, 34, '0')
(-9, 32, 1)	(-49, 1098, '0')
(-17, 32, 2)	(-257, 5746, '0')
(18, -32, 2)	(-356, -4932, '0')
(33, -17, 2)	(-1106, -34287, '0')
(33, -5, 1)	(-1094, -34683, '0')
(33, -1, 0)	(-1090, -34815, '0')
(33, 7, 1)	(-1082, -35079, '0')
(33, 19, 1)	(-1070, -35475, '0')
(33, 23, 1)	(-1066, -35607, '0')
(33, 31, 2)	(-1058, -35871, '0')
(-33, 32, 1)	(-1057, 38082, '0')
(-33, 17, 1)	(-1072, 37587, '0')
(17, -33, 2)	(-322, -4063, '0')
(34, 32, 2)	(-1124, -39236, '0')
(27, 34, 2)	(-695, -19872, '0')
(-3, 34, 2)	(25, 138, '0')
(-15, 34, 2)	(-191, 4110, '0')
(31, -34, 2)	(-995, -27776, '0')
(35, -6, 2)	(-1231, -41440, '0')
(35, -1, 0)	(-1226, -41615, '0')
(35, 3, 1)	(-1222, -41755, '0')
(35, 33, 2)	(-1192, -42805, '0')
(13, 35, 2)	(-134, -2483, '0')
(-35, 29, 1)	(-1196, 45115, '0')
(-35, 2, 1)	(-1223, 44170, '0')
(36, 31, 2)	(-1265, -46476, '0')
(25, -36, 2)	(-661, -14100, '0')
(37, -1, 0)	(-1370, -49247, '0')
(37, 11, 2)	(-1358, -49691, '0')
(37, 20, 2)	(-1349, -50024, '0')
(37, 23, 1)	(-1346, -50135, '0')
(37, 27, 2)	(-1342, -50283, '0')
(37, 35, 2)	(-1334, -50579, '0')
(-3, 37, 1)	(28, 147, '0')
(-13, 37, 2)	(-132, 2847, '0')
(-21, 37, 1)	(-404, 10479, '0')
(-23, 37, 2)	(-492, 13547, '0')
(-27, 37, 2)	(-692, 21411, '0')
(-37, 37, 3)	(-1332, 53391, '0')
(1, -37, 1)	(-38, 37, 'Z2')
(5, -37, 1)	(-62, 85, '0')
(7, -37, 1)	(-86, -35, '0')
(13, -37, 1)	(-206, -1547, '0')
(15, -37, 1)	(-262, -2595, '0')
(25, -37, 1)	(-662, -14075, '0')
(35, -37, 1)	(-1262, -40355, '0')
(37, -37, 2)	(-1406, -47915, '0')
(15, 38, 2)	(-187, -3720, '0')
(27, -38, 2)	(-767, -17928, '0')
(39, -29, 1)	(-1550, -56667, '0')
(39, -19, 1)	(-1540, -57057, '0')
(39, -11, 2)	(-1532, -57369, '0')
(39, 2, 2)	(-1519, -57876, '0')
(39, 7, 1)	(-1514, -58071, '0')
(39, 13, 2)	(-1508, -58305, '0')
(39, 22, 2)	(-1499, -58656, '0')
(39, 29, 2)	(-1492, -58929, '0')
(39, 37, 1)	(-1484, -59241, '0')
(-39, 29, 2)	(-1492, 61971, '0')
(11, -39, 2)	(-160, -781, '0')
(35, -39, 2)	(-1264, -40285, '0')
(40, 23, 3)	(-1577, -63320, '0')
(-21, 40, 2)	(-401, 10542, '0')
(41, -1, 1)	(-1682, -67199, '0')
(41, 3, 1)	(-1678, -67363, '0')
(41, 11, 1)	(-1670, -67691, '0')
(41, 15, 2)	(-1666, -67855, '0')
(27, 41, 2)	(-688, -20061, '0')
(19, 41, 1)	(-320, -7277, '0')
(-1, 41, 1)	(40, 43, '0')
(-9, 41, 1)	(-40, 1179, '0')
(-11, 41, 1)	(-80, 1903, '0')
(-15, 41, 1)	(-184, 4215, '0')
(-17, 41, 1)	(-248, 5899, '0')
(-19, 41, 1)	(-320, 7999, '0')
(-35, 41, 1)	(-1184, 45535, '0')
(-41, 41, 2)	(-1640, 72283, '0')
(-41, 32, 1)	(-1649, 71914, '0')
(-41, 17, 1)	(-1664, 71299, '0')
(15, -41, 1)	(-266, -2535, '0')
(24, -41, 3)	(-617, -12264, '0')
(42, -16, 2)	(-1780, -71652, '0')
(42, 8, 2)	(-1756, -72660, '0')
(43, -37, 1)	(-1886, -76067, '0')
(43, -13, 1)	(-1862, -77099, '0')
(43, -7, 1)	(-1856, -77357, '0')
(43, -1, 1)	(-1850, -77615, '0')
(43, 15, 2)	(-1834, -78303, '0')
(43, 17, 2)	(-1832, -78389, '0')
(43, 35, 2)	(-1814, -79163, '0')
(43, 38, 2)	(-1811, -79292, '0')
(43, 41, 2)	(-1808, -79421, '0')
(27, 43, 1)	(-686, -20115, '0')
(21, 43, 1)	(-398, -9723, '0')
(15, 43, 1)	(-182, -3795, '0')
(-43, 13, 2)	(-1836, 81915, '0')
(7, -43, 2)	(-92, 7, '0')
(23, -43, 1)	(-572, -10649, '0')
(39, -43, 1)	(-1564, -56121, '0')
(25, 44, 2)	(-581, -16100, '0')
(21, -44, 2)	(-485, -7896, '0')
(45, -37, 2)	(-2062, -87435, '0')
(45, -29, 1)	(-2054, -87795, '0')
(45, -5, 2)	(-2030, -88875, '0')
(45, -1, 0)	(-2026, -89055, '0')
(45, 19, 1)	(-2006, -89955, '0')
(45, 23, 1)	(-2002, -90135, '0')
(45, 43, 2)	(-1982, -91035, '0')
(-45, 29, 2)	(-1996, 94455, '0')
(-45, 13, 1)	(-2012, 93735, '0')
(-45, 8, 1)	(-2017, 93510, '0')
(-45, 5, 2)	(-2020, 93375, '0')
(13, -45, 2)	(-214, -1443, '0')
(37, -45, 2)	(-1414, -47619, '0')
(15, -46, 2)	(-271, -2460, '0')
(47, -33, 2)	(-2242, -100063, '0')
(47, -19, 2)	(-2228, -100721, '0')
(47, -3, 1)	(-2212, -101473, '0')
(47, -1, 0)	(-2210, -101567, '0')
(47, 3, 1)	(-2206, -101755, '0')
(47, 30, 3)	(-2179, -103024, '0')
(37, 47, 1)	(-1322, -51023, '0')
(36, 47, 2)	(-1249, -47052, '0')
(33, 47, 2)	(-1042, -36399, '0')
(19, 47, 1)	(-314, -7391, '0')
(17, 47, 1)	(-242, -5423, '0')
(16, 47, 2)	(-209, -4592, '0')
(15, 47, 1)	(-178, -3855, '0')
(-47, 17, 1)	(-2192, 106831, '0')
(-47, 5, 2)	(-2204, 106267, '0')
(-47, 2, 2)	(-2207, 106126, '0')
(3, -47, 1)	(-56, 123, '0')
(48, -17, 2)	(-2321, -107472, '0')
(49, -25, 2)	(-2426, -114023, '0')
(49, -9, 1)	(-2410, -114807, '0')
(49, -4, 1)	(-2405, -115052, '0')
(49, -1, 2)	(-2402, -115199, '0')
(49, 11, 1)	(-2390, -115787, '0')
(49, 23, 1)	(-2378, -116375, '0')
(49, 47, 1)	(-2354, -117551, '0')
(-49, 1, 2)	(-2400, 120099, '0')
(1, -49, 1)	(-50, 49, 'Z2')
(4, -49, 2)	(-65, 148, '0')
(9, -49, 1)	(-130, -207, '0')
(16, -49, 2)	(-305, -3056, '0')
(25, -49, 1)	(-674, -13775, '0')
(36, -49, 2)	(-1345, -43596, '0')
(-11, 50, 2)	(-71, 2002, '0')
(-39, 50, 2)	(-1471, 62790, '0')
(51, -37, 1)	(-2638, -128163, '0')
(51, -23, 1)	(-2624, -128877, '0')
(51, -22, 2)	(-2623, -128928, '0')
(51, -2, 1)	(-2603, -129948, '0')
(51, -1, 1)	(-2602, -129999, '0')
(51, 11, 1)	(-2590, -130611, '0')
(51, 17, 2)	(-2584, -130917, '0')
(51, 25, 2)	(-2576, -131325, '0')
(51, 31, 1)	(-2570, -131631, '0')
(51, 41, 1)	(-2560, -132141, '0')
(19, 51, 2)	(-310, -7467, '0')
(-51, 17, 2)	(-2584, 136119, '0')
(-51, 5, 2)	(-2596, 135507, '0')
(-51, 2, 1)	(-2599, 135354, '0')
(23, -51, 2)	(-580, -10465, '0')
(52, 47, 3)	(-2657, -140348, '0')
(53, -13, 1)	(-2822, -145379, '0')
(53, -1, 1)	(-2810, -146015, '0')
(53, 3, 1)	(-2806, -146227, '0')
(47, 53, 1)	(-2156, -104105, '0')
(23, 53, 1)	(-476, -12857, '0')
(15, 53, 1)	(-172, -3945, '0')
(-5, 53, 2)	(28, 415, '0')
(-11, 53, 2)	(-68, 2035, '0')
(-13, 53, 1)	(-116, 3055, '0')
(-15, 53, 1)	(-172, 4395, '0')
(-21, 53, 1)	(-388, 10815, '0')
(-23, 53, 1)	(-476, 13915, '0')
(-29, 53, 2)	(-788, 26767, '0')
(-35, 53, 1)	(-1172, 45955, '0')
(-53, 29, 1)	(-2780, 153223, '0')
(-53, 13, 2)	(-2796, 152375, '0')
(-53, 8, 1)	(-2801, 152110, '0')
(-53, 5, 1)	(-2804, 151951, '0')
(3, -53, 2)	(-62, 141, '0')
(21, -53, 1)	(-494, -7707, '0')
(33, -53, 1)	(-1142, -33099, '0')
(55, -27, 2)	(-3052, -161865, '0')
(55, -21, 2)	(-3046, -162195, '0')
(55, -3, 1)	(-3028, -163185, '0')
(55, -1, 1)	(-3026, -163295, '0')
(55, 5, 2)	(-3020, -163625, '0')
(55, 14, 2)	(-3011, -164120, '0')
