(-1, 1, 0)
(0, -1, 0)
(1, -1, 0)
(3, -2, 1)
(3, -1, 0)
(3, 1, 0)
(3, 2, 0)
(-3, 2, 0)
(-3, 1, 0)
(4, -1, 1)
(1, -4, 1)
(5, -1, 0)
(5, 3, 1)
(-3, 5, 1)
(-5, 5, 1)
(3, -5, 1)
(7, -3, 1)
(7, -1, 0)
(7, 2, 1)
(7, 3, 1)
(7, 5, 1)
(-7, 5, 1)
(-7, 2, 1)
(3, -7, 1)
(-5, 8, 1)
(9, -5, 1)
(9, -4, 1)
(9, -1, 1)
(9, 7, 1)
(-9, 1, 1)
(1, -9, 1)
(10, 8, 2)
(-3, 10, 2)
(7, -10, 2)
(11, -7, 1)
(11, 2, 1)
(11, 3, 1)
(11, 6, 2)
(9, 11, 1)
(7, 11, 1)
(-11, 5, 1)
(-11, 2, 1)
(-11, 1, 1)
(12, 7, 2)
(5, -12, 2)
(13, -1, 0)
(13, 3, 1)
(13, 11, 1)
(-3, 13, 1)
(-5, 13, 1)
(-7, 13, 1)
(-13, 8, 1)
(-13, 5, 1)
(1, -13, 1)
(3, -13, 1)
(7, -13, 1)
(13, -13, 2)
(15, -11, 1)
(15, -2, 1)
(15, -1, 0)
(15, 5, 2)
(15, 7, 1)
(15, 11, 1)
(15, 13, 1)
(-15, 13, 1)
(-15, 1, 1)
(11, -15, 2)
(16, -1, 2)
(-9, 16, 1)
(10, -16, 2)
(17, -1, 0)
(17, 3, 1)
(17, 12, 2)
(17, 15, 2)
(11, 17, 1)
(-1, 17, 1)
(-3, 17, 1)
(-7, 17, 1)
(-9, 17, 1)
(-11, 17, 1)
(-15, 17, 1)
(-17, 17, 2)
(0, -17, 2)
(9, -17, 1)
(15, -17, 1)
(18, -8, 2)
(19, -18, 2)
(19, -10, 2)
(19, -7, 1)
(19, -1, 1)
(19, 2, 1)
(19, 3, 1)
(19, 11, 1)
(19, 17, 1)
(15, 19, 1)
(9, 19, 1)
(-19, 13, 2)
(-19, 2, 1)
(7, -19, 1)
(20, -1, 1)
(13, 20, 2)
(21, -13, 2)
(21, -5, 1)
(21, -1, 1)
(21, 11, 1)
(21, 19, 2)
(-21, 13, 1)
(-21, 8, 1)
(-21, 5, 1)
(5, -21, 2)
(7, -22, 2)
(15, -22, 2)
(23, -3, 1)
(23, -1, 1)
(23, 2, 1)
(23, 5, 1)
(19, 23, 1)
(17, 23, 1)
(12, 23, 2)
(11, 23, 1)
(-23, 17, 1)
(-23, 5, 1)
(-23, 2, 1)
(3, -23, 1)
(24, 7, 2)
(25, -9, 1)
(25, -4, 1)
(25, -1, 1)
(25, 3, 1)
(25, 23, 2)
(-9, 25, 1)
(-15, 25, 1)
(1, -25, 1)
(9, -25, 1)
(25, -25, 2)
(19, 26, 2)
(-11, 26, 2)
(-19, 26, 2)
(27, -23, 1)
(27, -10, 2)
(27, -7, 1)
(27, -1, 0)
(27, 1, 1)
(27, 7, 1)
(27, 11, 2)
(27, 14, 2)
(27, 17, 1)
(27, 22, 2)
(13, 27, 1)
(-27, 17, 1)
(-27, 5, 1)
(-27, 2, 2)
(28, 23, 2)
(13, -28, 2)
(29, 3, 1)
(29, 11, 1)
(15, 29, 1)
(-5, 29, 2)
(-11, 29, 1)
(-13, 29, 1)
(-15, 29, 1)
(-29, 13, 2)
(-29, 8, 1)
(-29, 5, 1)
(3, -29, 1)
(9, -29, 1)
(21, -29, 1)
(31, -19, 2)
(31, -13, 1)
(31, -1, 1)
(31, 2, 1)
(31, 5, 1)
(31, 6, 2)
(31, 21, 2)
(31, 26, 2)
(31, 29, 2)
(21, 31, 1)
(15, 31, 1)
(-31, 2, 1)
(19, -31, 2)
(27, -31, 1)
(-1, 32, 1)
(-9, 32, 1)
(-17, 32, 2)
(18, -32, 2)
(33, -17, 2)
(33, -5, 1)
(33, -1, 0)
(33, 7, 1)
(33, 19, 1)
(33, 23, 1)
(33, 31, 2)
(-33, 32, 1)
(-33, 17, 1)
(17, -33, 2)
(34, 32, 2)
(27, 34, 2)
(-3, 34, 2)
(-15, 34, 2)
(31, -34, 2)
(35, -6, 2)
(35, -1, 0)
(35, 3, 1)
(35, 33, 2)
(13, 35, 2)
(-35, 29, 1)
(-35, 2, 1)
(36, 31, 2)
(25, -36, 2)
(37, -1, 0)
(37, 11, 2)
(37, 20, 2)
(37, 23, 1)
(37, 27, 2)
(37, 35, 2)
(-3, 37, 1)
(-13, 37, 2)
(-21, 37, 1)
(-23, 37, 2)
(-27, 37, 2)
(-37, 37, 3)
(1, -37, 1)
(5, -37, 1)
(7, -37, 1)
(13, -37, 1)
(15, -37, 1)
(25, -37, 1)
(35, -37, 1)
(37, -37, 2)
(15, 38, 2)
(27, -38, 2)
(39, -29, 1)
(39, -19, 1)
(39, -11, 2)
(39, 2, 2)
(39, 7, 1)
(39, 13, 2)
(39, 22, 2)
(39, 29, 2)
(39, 37, 1)
(-39, 29, 2)
(11, -39, 2)
(35, -39, 2)
(40, 23, 3)
(-21, 40, 2)
(41, -1, 1)
(41, 3, 1)
(41, 11, 1)
(41, 15, 2)
(27, 41, 2)
(19, 41, 1)
(-1, 41, 1)
(-9, 41, 1)
(-11, 41, 1)
(-15, 41, 1)
(-17, 41, 1)
(-19, 41, 1)
(-35, 41, 1)
(-41, 41, 2)
(-41, 32, 1)
(-41, 17, 1)
(15, -41, 1)
(24, -41, 3)
(42, -16, 2)
(42, 8, 2)
(43, -37, 1)
(43, -13, 1)
(43, -7, 1)
(43, -1, 1)
(43, 15, 2)
(43, 17, 2)
(43, 35, 2)
(43, 38, 2)
(43, 41, 2)
(27, 43, 1)
(21, 43, 1)
(15, 43, 1)
(-43, 13, 2)
(7, -43, 2)
(23, -43, 1)
(39, -43, 1)
(25, 44, 2)
(21, -44, 2)
(45, -37, 2)
(45, -29, 1)
(45, -5, 2)
(45, -1, 0)
(45, 19, 1)
(45, 23, 1)
(45, 43, 2)
(-45, 29, 2)
(-45, 13, 1)
(-45, 8, 1)
(-45, 5, 2)
(13, -45, 2)
(37, -45, 2)
(15, -46, 2)
(47, -33, 2)
(47, -19, 2)
(47, -3, 1)
(47, -1, 0)
(47, 3, 1)
(47, 30, 3)
(37, 47, 1)
(36, 47, 2)
(33, 47, 2)
(19, 47, 1)
(17, 47, 1)
(16, 47, 2)
(15, 47, 1)
(-47, 17, 1)
(-47, 5, 2)
(-47, 2, 2)
(3, -47, 1)
(48, -17, 2)
(49, -25, 2)
(49, -9, 1)
(49, -4, 1)
(49, -1, 2)
(49, 11, 1)
(49, 23, 1)
(49, 47, 1)
(-49, 1, 2)
(1, -49, 1)
(4, -49, 2)
(9, -49, 1)
(16, -49, 2)
(25, -49, 1)
(36, -49, 2)
(-11, 50, 2)
(-39, 50, 2)
(51, -37, 1)
(51, -23, 1)
(51, -22, 2)
(51, -2, 1)
(51, -1, 1)
(51, 11, 1)
(51, 17, 2)
(51, 25, 2)
(51, 31, 1)
(51, 41, 1)
(19, 51, 2)
(-51, 17, 2)
(-51, 5, 2)
(-51, 2, 1)
(23, -51, 2)
(52, 47, 3)
(53, -13, 1)
(53, -1, 1)
(53, 3, 1)
(47, 53, 1)
(23, 53, 1)
(15, 53, 1)
(-5, 53, 2)
(-11, 53, 2)
(-13, 53, 1)
(-15, 53, 1)
(-21, 53, 1)
(-23, 53, 1)
(-29, 53, 2)
(-35, 53, 1)
(-53, 29, 1)
(-53, 13, 2)
(-53, 8, 1)
(-53, 5, 1)
(3, -53, 2)
(21, -53, 1)
(33, -53, 1)
(55, -27, 2)
(55, -21, 2)
(55, -3, 1)
(55, -1, 1)
(55, 5, 2)
(55, 14, 2)
(55, 29, 1)
(55, 53, 2)
(27, 55, 2)
(3, -55, 2)
(43, -55, 2)
(56, 23, 2)
(34, 56, 3)
(57, -41, 1)
(57, -13, 1)
(57, -1, 0)
(57, 7, 1)
(57, 31, 1)
(57, 43, 2)
(57, 47, 1)
(-57, 41, 2)
(-57, 32, 1)
(-57, 17, 1)
(13, -57, 2)
(23, -57, 2)
(25, -57, 2)
(35, -57, 2)
(58, -16, 2)
